name,length,discharge
Amazon–Ucayali–Tambo–Ene–Mantaro,6575,209000
Amu Darya,2620,2560
Amur–Argun,4480,11000
Aras,1072,285
Arkansas,2349,800
Barito,900,800
Beni,1580,14130
Blue Nile,1450,2800
Blue Nile,1450,2800
Brahmaputra–Tsangpo,3960,19800
Chishui,2860,3800
Churchill,1690,529
Colorado,2330,642
Columbia–Snake,2000,7420
Congo–Chambeshi,4700,41300
Danube,2860,6450
Desna,1130,360
Dnieper,2285,1670
Dniester,1352,310
Douro,897,423
Drava,725,580
Ebro,910,426
Fraser,1375,348
Ganges,2525,16000
Godavari,1465,3085
Guaporé,1750,35000
Han,1416,2417
Indus,3180,6000
Irrawaddy,2170,13159
Khatanga,2278,4100
Kolyma,2513,3910
Kuskokwim,1165,1600
Lena,4400,16400
Liao,1345,500
Liard,1115,3513
Limpopo,1800,170
Limpopo,1800,170
Loire,1020,802
Lower Tunguska,2989,4780
Mackenzie,4241,9700
Mackenzie–Slave–Finlay–Peace,4241,9700
Madeira–Mamoré–Grande–Caine–Rocha,3379,31000
Magdalena,1550,7150
Mahanadi,858,2100
Mekong–Lancang,4350,16000
Meuse,925,357
Mississippi–Missouri–Jefferson–Beaverhead–Red Rock–Hell Roaring,6275,16200
Mures,768,185
Murray–Darling,3750,767
Nelson–Saskatchewan,2575,2370
Neman,937,678
Neva,74,2490
Niger,4180,6000
Nile–White Nile–Blue Nile,6650,2800
Ob–Irtysh,5410,12800
Olenek,2292,1400
Olenyok,2292,1210
Orinoco,2140,33000
Pechora,1809,4040
Po,652,1500
Po,652,1500
Purús,3379,8400
Red River,1360,1250
Red River of the North,885,288
Rhine,1233,2900
Río de la Plata–Paraná–Rio Grande,4880,25700
Rio Grande,3057,160
Rio Negro,2250,29060
Saint Lawrence–Great Lakes,3058,10400
Salween,2990,16300
Sanaga,918,1925
São Francisco,3150,2850
Seine,777,470
Sepik,1126,101
Seversky Donets,1053,160
Shatt al-Arab–Euphrates–Tigris,3600,1350
Shinano,367,546
Sutlej,1450,500
Syr Darya–Naryn,3019,1210
Tagus,1007,430
Tapajós,2100,12849
Tapajós,2100,12849
Teles Pires,1370,5300
Tigris,1850,1200
Tocantins,3650,13700
Tocantins–Araguaia,3650,13700
Trombetas,1300,4055
Ural,2428,400
Ural,2428,400
Uruguay,1838,4900
Vilyuy,2646,1350
Vistula,1047,1080
Volga,3645,8060
Vychegda,1130,1795
Xingu,1980,9600
Yangtze,6300,31900
Yellow River,5464,2110
Yenisei–Angara–Selenge–Ider,5539,19800
Yukon,3190,6430
Zambezi,2734,4900